Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
huMAP	RPL10A	2/46	5.707129e-02	9.398527e-02	0	0	5.418401e+00	1.551534e+01	RPL21;RPL14
huMAP	ETFA	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	BPNT1
huMAP	SRPK2	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	RPL23A
huMAP	SMARCA2	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	ARID1A
huMAP	EIF4A3	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	CASC3
huMAP	USE1	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	ZW10
huMAP	SAFB2	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	ZNF638
huMAP	SVIL	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	TMOD3
huMAP	EXOSC6	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	EXOSC10
huMAP	PBRM1	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	ARID1A
huMAP	MRPL54	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	MRPL53
huMAP	EXOSC2	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	EXOSC10
huMAP	COG4	1/7	5.734695e-02	9.398527e-02	0	0	1.978643e+01	5.656219e+01	ZW10
huMAP	RPL6	2/49	6.380808e-02	1.013371e-01	0	0	5.071776e+00	1.395690e+01	RPL21;RPL14
huMAP	PHF5A	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	SF3B4
huMAP	RPL37	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	RPL21
huMAP	THOC3	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	ZC3H11A
huMAP	C1D	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	EXOSC10
huMAP	RPL22L1	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	RPL21
huMAP	PSMB3	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	PSMA2
huMAP	ENSG00000184779	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	RPL23A
huMAP	RBM22	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	CMPK1
huMAP	MRPL21	1/8	6.526799e-02	1.013371e-01	0	0	1.695894e+01	4.628525e+01	MRPL53
huMAP	RPL7	2/50	6.611066e-02	1.021081e-01	0	0	4.965863e+00	1.348940e+01	RPL21;RPL14
huMAP	RPS5	1/9	7.312286e-02	1.100574e-01	0	0	1.483832e+01	3.881133e+01	RPL21
huMAP	DIS3L	1/9	7.312286e-02	1.100574e-01	0	0	1.483832e+01	3.881133e+01	EXOSC10
huMAP	HSP90AB1	1/9	7.312286e-02	1.100574e-01	0	0	1.483832e+01	3.881133e+01	RPL21
huMAP	NCBP3	1/9	7.312286e-02	1.100574e-01	0	0	1.483832e+01	3.881133e+01	ZC3H11A
huMAP	ACTL6A	1/9	7.312286e-02	1.100574e-01	0	0	1.483832e+01	3.881133e+01	ARID1A
huMAP	PHB	1/10	8.091212e-02	1.199451e-01	0	0	1.318896e+01	3.316220e+01	AFG3L2
huMAP	GRWD1	1/10	8.091212e-02	1.199451e-01	0	0	1.318896e+01	3.316220e+01	RPL10A
huMAP	DPF3	1/10	8.091212e-02	1.199451e-01	0	0	1.318896e+01	3.316220e+01	ARID1A
huMAP	RPL26	2/57	8.296309e-02	1.216173e-01	0	0	4.332311e+00	1.078468e+01	RPL21;RPL14
huMAP	SND1	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	RPL21
huMAP	YARS2	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	MRPL4
huMAP	PSME2	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	PSMA2
huMAP	WBSCR16	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	MRPL4
huMAP	NHP2	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	NOP58
huMAP	RPS27	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	RPL21
huMAP	SMARCD2	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	ARID1A
huMAP	EXOSC4	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	EXOSC10
huMAP	RPS15A	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	RPL21
huMAP	PSMG2	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	PSMA2
huMAP	RCC1	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	UBE2I
huMAP	FLII	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	TMOD3
huMAP	EXOSC3	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	EXOSC10
huMAP	RPS9	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	RPL21
huMAP	CCDC124	1/11	8.863631e-02	1.216173e-01	0	0	1.186946e+01	2.876224e+01	RPL7A
huMAP	ZNF668	2/60	9.054661e-02	1.236632e-01	0	0	4.107603e+00	9.866012e+00	HP1BP3;CCDC86
huMAP	MRPL19	1/12	9.629596e-02	1.279608e-01	0	0	1.078987e+01	2.525186e+01	MRPL53
huMAP	RPL39	1/12	9.629596e-02	1.279608e-01	0	0	1.078987e+01	2.525186e+01	RPL21
huMAP	PSMB9	1/12	9.629596e-02	1.279608e-01	0	0	1.078987e+01	2.525186e+01	PSMA2
huMAP	SYF2	1/12	9.629596e-02	1.279608e-01	0	0	1.078987e+01	2.525186e+01	CRNKL1
huMAP	NXF1	1/12	9.629596e-02	1.279608e-01	0	0	1.078987e+01	2.525186e+01	UBE2I
huMAP	LGALS8	1/12	9.629596e-02	1.279608e-01	0	0	1.078987e+01	2.525186e+01	ATG9A
huMAP	NDC1	1/13	1.038916e-01	1.344212e-01	0	0	9.890220e+00	2.239548e+01	UBE2I
huMAP	PSME1	1/13	1.038916e-01	1.344212e-01	0	0	9.890220e+00	2.239548e+01	PSMA2
huMAP	EXOSC9	1/13	1.038916e-01	1.344212e-01	0	0	9.890220e+00	2.239548e+01	EXOSC10
huMAP	MRPL4	1/13	1.038916e-01	1.344212e-01	0	0	9.890220e+00	2.239548e+01	MRPL53
huMAP	54865	1/13	1.038916e-01	1.344212e-01	0	0	9.890220e+00	2.239548e+01	MMTAG2
huMAP	ARID2	1/13	1.038916e-01	1.344212e-01	0	0	9.890220e+00	2.239548e+01	ARID1A
huMAP	RPS20	1/14	1.114238e-01	1.422945e-01	0	0	9.128973e+00	2.003275e+01	RPL21
huMAP	RPL11	1/14	1.114238e-01	1.422945e-01	0	0	9.128973e+00	2.003275e+01	RPL21
huMAP	TMEM209	1/14	1.114238e-01	1.422945e-01	0	0	9.128973e+00	2.003275e+01	UBE2I
huMAP	CDC40	1/15	1.188931e-01	1.492487e-01	0	0	8.476476e+00	1.805092e+01	CRNKL1
huMAP	RPS3	1/15	1.188931e-01	1.492487e-01	0	0	8.476476e+00	1.805092e+01	RPL21
huMAP	EIF3B	1/15	1.188931e-01	1.492487e-01	0	0	8.476476e+00	1.805092e+01	RPL21
huMAP	SMARCD1	1/15	1.188931e-01	1.492487e-01	0	0	8.476476e+00	1.805092e+01	ARID1A
huMAP	MRPL3	1/16	1.262999e-01	1.565482e-01	0	0	7.910978e+00	1.636857e+01	MRPL4
huMAP	NOP10	1/16	1.262999e-01	1.565482e-01	0	0	7.910978e+00	1.636857e+01	RPL14
huMAP	RCC2	1/16	1.262999e-01	1.565482e-01	0	0	7.910978e+00	1.636857e+01	SRRM1
huMAP	RRBP1	1/17	1.336449e-01	1.622438e-01	0	0	7.416168e+00	1.492555e+01	RPL14
huMAP	MRPS31	1/17	1.336449e-01	1.622438e-01	0	0	7.416168e+00	1.492555e+01	MRPS17
huMAP	SMARCC2	1/17	1.336449e-01	1.622438e-01	0	0	7.416168e+00	1.492555e+01	ARID1A
huMAP	RPLP2	1/17	1.336449e-01	1.622438e-01	0	0	7.416168e+00	1.492555e+01	RPL21
huMAP	PSMA8	1/17	1.336449e-01	1.622438e-01	0	0	7.416168e+00	1.492555e+01	PSMA2
huMAP	SMARCC1	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	ARID1A
huMAP	SMARCB1	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	ARID1A
huMAP	MRPS18C	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	MRPS17
huMAP	MRPL22	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	MRPL4
huMAP	ZC3H18	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	SRRM1
huMAP	RPL30	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	RPL21
huMAP	ARID1B	1/18	1.409284e-01	1.662955e-01	0	0	6.979570e+00	1.367649e+01	ARID1A
huMAP	PRPF3	1/19	1.481511e-01	1.727454e-01	0	0	6.591484e+00	1.258659e+01	TFIP11
huMAP	AAAS	1/19	1.481511e-01	1.727454e-01	0	0	6.591484e+00	1.258659e+01	UBE2I
huMAP	MRPS5	1/19	1.481511e-01	1.727454e-01	0	0	6.591484e+00	1.258659e+01	MRPS17
huMAP	EBNA1BP2	1/20	1.553134e-01	1.796763e-01	0	0	6.244248e+00	1.162873e+01	RPL21
huMAP	MRPS34	1/20	1.553134e-01	1.796763e-01	0	0	6.244248e+00	1.162873e+01	MRPS17
huMAP	PTCD3	1/21	1.624159e-01	1.871589e-01	0	0	5.931737e+00	1.078149e+01	MRPS17
huMAP	PPAN	2/88	1.689359e-01	1.922708e-01	0	0	2.766321e+00	4.919171e+00	CCDC86;RRP12
huMAP	PSMG1	1/22	1.694590e-01	1.922708e-01	0	0	5.648988e+00	1.002777e+01	PSMA2
huMAP	MRPL55	1/22	1.694590e-01	1.922708e-01	0	0	5.648988e+00	1.002777e+01	MRPL4
huMAP	ZNF622	1/22	1.694590e-01	1.922708e-01	0	0	5.648988e+00	1.002777e+01	RPL14
huMAP	MRPS6	1/23	1.764432e-01	1.986670e-01	0	0	5.391943e+00	9.353707e+00	MRPS17
huMAP	MRPS15	1/23	1.764432e-01	1.986670e-01	0	0	5.391943e+00	9.353707e+00	MRPS17
huMAP	MRPL57	1/24	1.833690e-01	2.041278e-01	0	0	5.157251e+00	8.748010e+00	MRPL4
huMAP	SRSF10	1/24	1.833690e-01	2.041278e-01	0	0	5.157251e+00	8.748010e+00	SRRM1
huMAP	MRPS24	1/24	1.833690e-01	2.041278e-01	0	0	5.157251e+00	8.748010e+00	MRPS17
huMAP	RPL14	1/25	1.902370e-01	2.109771e-01	0	0	4.942116e+00	8.201366e+00	RPL21
huMAP	MRPL11	1/26	1.970475e-01	2.152926e-01	0	0	4.744192e+00	7.706041e+00	MRPL4
huMAP	RPS3A	1/26	1.970475e-01	2.152926e-01	0	0	4.744192e+00	7.706041e+00	RPL21
huMAP	MRPL24	1/26	1.970475e-01	2.152926e-01	0	0	4.744192e+00	7.706041e+00	MRPL4
huMAP	MRPS10	1/26	1.970475e-01	2.152926e-01	0	0	4.744192e+00	7.706041e+00	MRPS17
huMAP	RPS8	1/27	2.038011e-01	2.210342e-01	0	0	4.561492e+00	7.255560e+00	RPL21
huMAP	ZC3HAV1	1/27	2.038011e-01	2.210342e-01	0	0	4.561492e+00	7.255560e+00	MMTAG2
huMAP	MRPL27	1/28	2.104982e-01	2.274614e-01	0	0	4.392326e+00	6.844467e+00	MRPL4
huMAP	GNL3	1/29	2.171393e-01	2.320873e-01	0	0	4.235244e+00	6.468134e+00	UTP18
huMAP	NUDT21	1/29	2.171393e-01	2.320873e-01	0	0	4.235244e+00	6.468134e+00	SF3B4
huMAP	SRP68	1/29	2.171393e-01	2.320873e-01	0	0	4.235244e+00	6.468134e+00	RRP12
huMAP	SF3B2	1/30	2.237248e-01	2.374058e-01	0	0	4.088994e+00	6.122608e+00	MMTAG2
huMAP	NOP58	1/30	2.237248e-01	2.374058e-01	0	0	4.088994e+00	6.122608e+00	RPL14
huMAP	SF3B3	1/32	2.367312e-01	2.503072e-01	0	0	3.824802e+00	5.510889e+00	SF3B4
huMAP	SF3B1	1/37	2.683072e-01	2.826808e-01	0	0	3.292748e+00	4.332014e+00	SF3B4
huMAP	FTSJ3	1/38	2.744648e-01	2.881392e-01	0	0	3.203593e+00	4.142029e+00	MMTAG2
huMAP	ACTB	1/39	2.805709e-01	2.935050e-01	0	0	3.119130e+00	3.964193e+00	TMOD3
huMAP	CEBPZ	1/41	2.926302e-01	3.050386e-01	0	0	2.962874e+00	3.640915e+00	RRP12
huMAP	SNRNP200	1/44	3.103435e-01	3.223638e-01	0	0	2.755744e+00	3.224429e+00	SRRM1
huMAP	GAR1	1/47	3.276157e-01	3.391110e-01	0	0	2.575631e+00	2.874183e+00	NHP2
huMAP	PUF60	1/51	3.499783e-01	3.609916e-01	0	0	2.369102e+00	2.487282e+00	SRRM1
huMAP	LIN28B	1/52	3.554524e-01	3.653605e-01	0	0	2.322531e+00	2.402343e+00	MMTAG2
huMAP	CTCF	1/59	3.925093e-01	4.020495e-01	0	0	2.041503e+00	1.909204e+00	HP1BP3
huMAP	KNOP1	1/67	4.322730e-01	4.412475e-01	0	0	1.793322e+00	1.504056e+00	CCDC86
huMAP	SRRM1	1/70	4.465078e-01	4.526454e-01	0	0	1.715092e+00	1.382876e+00	CCDC86
huMAP	RRP12	1/70	4.465078e-01	4.526454e-01	0	0	1.715092e+00	1.382876e+00	CCDC86
huMAP	NVL	1/72	4.558000e-01	4.604829e-01	0	0	1.666610e+00	1.309458e+00	CCDC86
huMAP	POP1	1/81	4.957325e-01	4.991164e-01	0	0	1.478443e+00	1.037451e+00	MMTAG2
huMAP	RSL1D1	1/86	5.166442e-01	5.184015e-01	0	0	1.391124e+00	9.186992e-01	MMTAG2
huMAP	GNL2	1/92	5.406032e-01	5.406032e-01	0	0	1.299006e+00	7.989795e-01	CCDC86
