Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
huMAP	ENSG00000215472	7/86	8.011152e-06	7.385281e-05	0	0	1.087122e+01	1.275702e+02	RPL7A;NOP58;RPL21;RPL23;RPL14;RPL23A;RPL10A
huMAP	RPL8	7/98	1.895876e-05	1.694799e-04	0	0	9.431916e+00	1.025555e+02	RPL7A;RPL21;RPS29;RPL23;RPL14;RPL23A;RPL10A
huMAP	IGF2BP1	4/20	2.095248e-05	1.817936e-04	0	0	3.020732e+01	3.254311e+02	RPL21;RPL14;RPL23A;RPL10A
huMAP	NDUFS6	3/8	3.160857e-05	2.463396e-04	0	0	7.209818e+01	7.470873e+02	NDUFB7;NDUFA12;NDUFA2
huMAP	RPS11	6/72	3.173188e-05	2.463396e-04	0	0	1.109203e+01	1.148934e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL10A
huMAP	RPL18	6/72	3.173188e-05	2.463396e-04	0	0	1.109203e+01	1.148934e+02	RPL7A;NOP58;RPL21;RPL14;RPL23A;RPL10A
huMAP	RPS23	6/72	3.173188e-05	2.463396e-04	0	0	1.109203e+01	1.148934e+02	RPL7A;NOP58;RPL21;RPL14;RPL23A;RPL10A
huMAP	MRPL42	5/44	3.282676e-05	2.483049e-04	0	0	1.556788e+01	1.607269e+02	MRPL4;MRPL41;MRPL53;MRPL27;MRPL23
huMAP	MRPL44	5/45	3.668081e-05	2.669908e-04	0	0	1.517791e+01	1.550159e+02	MRPL4;MRPL41;MRPL53;MRPL27;MRPL23
huMAP	RPL36	6/74	3.710720e-05	2.669908e-04	0	0	1.076471e+01	1.098183e+02	RPL7A;NOP58;RPL21;RPL14;RPL23A;RPL10A
huMAP	MRPL15	5/46	4.087632e-05	2.871075e-04	0	0	1.480697e+01	1.496239e+02	MRPL4;MRPL41;MRPL53;MRPL27;MRPL23
huMAP	SERBP1	5/48	5.037469e-05	3.455938e-04	0	0	1.411685e+01	1.397007e+02	RPL7A;RPL21;RPL23;RPL14;RPL10A
huMAP	MRPL1	5/49	5.572065e-05	3.735816e-04	0	0	1.379532e+01	1.351273e+02	MRPL41;MRPL4;MRPL53;MRPL27;MRPL23
huMAP	MRPS30	5/52	7.441756e-05	4.772430e-04	0	0	1.291281e+01	1.227468e+02	MRPL41;MRPL4;MRPL53;MRPL27;MRPL23
huMAP	MRPL49	5/52	7.441756e-05	4.772430e-04	0	0	1.291281e+01	1.227468e+02	MRPL41;MRPL4;MRPL53;MRPL27;MRPL23
